audio_file;transcription;translation
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000023_000000.wav;The nurse, Fedosya, a good-natured and fine looking, if somewhat stupid woman, smiled as she looked at her mistress with her characteristic expression, which seemed to say that it was not for her to object to gentlewomen's caprices.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50962\5849_50962_000010_000000.wav;"""It's a schooner,"" said mr Bingham to mr Minturn, ""and she has a very heavy cargo.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000012_000004.wav;The brand showed cherry, which is the proper colour to indicate due peeling and a successful mark.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000003_000005.wav;Then I scouted to see what had cut me, and found that the fellow had lost a hand.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000035_000004.wav;"Tomorrow, happen what may, we shall win!""";
opus_datasets/extracted/LibriTTS_R/dev-other\8173\294714\8173_294714_000037_000005.wav;"""For the last time!"" I thought, as I held her to me for a moment longer-""for the last time!""";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000019_000016.wav;"""I will not, by Heaven,"" said she.";
opus_datasets/extracted/LibriTTS_R/dev-other\1651\136854\1651_136854_000017_000000.wav;'Different kinds of praise pursued at different periods.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000063_000001.wav;It was worse than she had even thought it would be.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000026_000003.wav;"You have never made anything so exquisite, which proves you our inveterate foe and their devoted friend; and yet the Pope and he have had it twice in mind to hang you without any fault of yours. That was the Father and the Son; now beware of the Holy Ghost.  It was firmly believed that Duke Alessandro was the son of Pope Clement.";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172528\3663_172528_000015_000001.wav;So I made my mind up, and prepared to travel.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000048_000001.wav;"Directly he crossed the threshold he called the first cab and was driving away, but he was stopped-""";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000076_000001.wav;Why does she not get tired of the same thing-of eternally closing her eyes, and of hiding her face?;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000048_000001.wav;"""Well, let's leave our letters to day, Polly, and set to on the Round Robin.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000033_000000.wav;"""Yes; that is, to Charlotte's father,"" corrected mr King.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000038_000000.wav;"""It's not that I don't remember-I know what he is like, but not as I remember Nikolenka.";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000009_000000.wav;Well, he was clean out of his head for nigh two weeks.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000017_000005.wav;"""It is too soon for you to go away yet,"" said he; ""stay with me until I have finished receiving the homage of my chief men, who have agreed to come to me."" And they remained with him until he had done so.";
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000045_000001.wav;The ship was over two feet by the stern, but this will soon be remedied.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\157641\1650_157641_000049_000006.wav;It is a great soother, a pleasant comforter.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000027_000002.wav;You will be weary of my rhapsodies over her.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000022_000001.wav;Dyed your hair!;
opus_datasets/extracted/LibriTTS_R/dev-other\4570\102353\4570_102353_000007_000002.wav;Inquiries were made with regard to gunpowder, which subsequently led to the use of a coarser grain for artillery.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000021_000000.wav;"""It would be if you'd only cultivate it,"" said Anne cheeringly.";
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000042_000003.wav;What should I care?;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000008_000000.wav;"""Well, I'm sorry the summer is going,"" said Adela, ""because then I've got to leave you at Paris, and go into school.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000021_000005.wav;Thou wilt have little thanks, O my soul!;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000039_000001.wav;"""Just lie around and take it easy till you get rested up.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000005_000001.wav;He hoped nothing serious had happened to drag her out at such an untoward time.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000089_000002.wav;And Lelechka grew feebler from hour to hour.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000051_000001.wav;"The Indians have shifted their quarters, and they're in about as awkward a position as they could contrive for our purpose.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000001_000001.wav;He does not express life easily in beautiful words or in images.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000005_000000.wav;"""That should be at once,"" remarked the Commissary, eager, as usual, for decisive action.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000028_000002.wav;Jocelyn thought it strange that he should be thrown by fate into a position to play the son of the Montagues to this daughter of the Capulets.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000045_000000.wav;"""O you do!";
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000065_000002.wav;"Provisions can be packed in our wallets; in fact, everything held ready for a start.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000019_000002.wav;Even the few who entertain doubts on the subject, seem to hold that while there is a large mythical element in the Jesus story, nevertheless there is a historical nucleus round which has clustered the elaborate legend of the Christ.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000013_000002.wav;He had me by the throat with his hand, and I felt the point of the hook pricking the back of my neck.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000051_000000.wav;"""And you never did think for a minute, Billy, that you cared for him?"" Bertram's gaze searched Billy's face a little fearfully.";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000008_000003.wav;I simply can't talk about Josie Pye without making an uncharitable speech, so I never mention her at all.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000024_000002.wav;"I can tell you for myself...""";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000071_000000.wav;There was another silence.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000083_000001.wav;She seemed so small and so frail under the blanket that covered her.;
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000018_000001.wav;Seize that man!;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000009_000006.wav;"I should not know how to drink wine with them, and should do a hundred things which would make them think me a beast.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000005_000002.wav;"Three were to care for the remuda; five were to move the stray herd from the corrals to good feed; three branding crews were told to brand the calves we had collected in the cut of the afternoon before.";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000025_000000.wav;"Dostoevsky's people, it is suggested, ""are not so much men and women as disembodied spirits who have for the moment put on mortality.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000023_000001.wav;"""What girl are you?""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000040_000000.wav;"'O Rose! let us see the little girl; and if she will do, let us have her, and Tessa can learn our song, and it will be splendid!' cried the biggest boy, who sat astride of a chair, and stared at the harp with round eyes.";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\291468\7601_291468_000013_000002.wav;Let us see how the universal acquirements of William the Testy aided him in the affairs of government.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000013_000004.wav;The Rectangle was excited to know the details of the funeral.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000029_000000.wav;"""I asked which was your window.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\73710\1630_73710_000018_000003.wav;Think of me always.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000031_000002.wav;I had no fear of him, not till the very last, when he played me this evil turn.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000008_000002.wav;The bell was in the open air, and being overlaid with several inches of muffling snow, had lost its voice for the time.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000064_000000.wav;"""The fact is, I forgot to ask.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000004_000001.wav;"He was now over forty, she was probably thirty; and he dared not make unmeaning love with the careless selfishness of a younger man.";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\55228\4323_55228_000050_000004.wav;"I can see it as plain as day in her letters. He's there a lot.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000018_000006.wav;He swallowed down the dry choking sobs which had been heaving up from his heart hitherto, and going to his bookcase he took down a volume, which he had often been reading lately, and from which he thought he had derived strength to enter upon the course in which he was now embarked.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000067_000001.wav;And for my own part, I am glad you are not what I have always thought you were.;
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000015_000000.wav;"""Ask them,"" replied Prince Andrew, indicating the officers.";
opus_datasets/extracted/LibriTTS_R/dev-other\4323\18416\4323_18416_000061_000000.wav;"""I was writing a note to mrs Fargo,"" said Phronsie, putting up her lips for a kiss.";
opus_datasets/extracted/LibriTTS_R/dev-other\7697\105815\7697_105815_000048_000002.wav;And they brought out the jaw bone of an ass with which Samson did such great feats, and the sling and stone with which David slew Goliath of Gath.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172182\3660_172182_000012_000004.wav;And the head of the stag was given to Enid.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000021_000003.wav;She had a most wonderful manner in singing, and everybody was weeping before she had sung a dozen words.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000009_000000.wav;"""No,"" was the muffled reply.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000012_000000.wav;"""One.";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000007_000001.wav;To them a United States Senator was a vast, vague colossus, an awe inspiring unreality.;
opus_datasets/extracted/LibriTTS_R/dev-other\1585\131718\1585_131718_000021_000008.wav;I would talk for the benefit of his music.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000024_000000.wav;"""And you-greedy, gormandizing beast!--you agreed?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\138279\1255_138279_000058_000000.wav;"""Yes""";
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000011_000003.wav;Yet to Dostoevsky such aberrations of conduct make a continuous and overwhelming appeal.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000003_000000.wav;The Guards had made their whole march as if on a pleasure trip, parading their cleanliness and discipline.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000034_000004.wav;Pennell 'swung' the ship for compass adjustment, then 'away.';
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000012_000001.wav;"Nay, do not pretend to be astonished.""";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000010_000001.wav;"I am a priest.""";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000089_000000.wav;"""Nor I,"" answered each and every one.";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000000_000003.wav;Margaret went up to dress for the early tea, finding Dixon in a pretty temper from the interruption which a visitor had naturally occasioned on a busy day.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000029_000001.wav;His imagination has always been curiously interested in soldiers, but that is more because they have added a touch of colour to the tragic game of life than because he is on the side of the military show.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274150\8288_274150_000024_000000.wav;"""I am here, dear Louise,"" said Raoul, running towards her.";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000011_000003.wav;She loved her little girl with the ungratified passion that other women, deceived in their husbands, show their chance young lovers.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000031_000001.wav;"""What blasphemy!""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000024_000003.wav;The subject is so large that I should like to discuss it with you when we have more time.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000010_000002.wav;Besides, I was comparing it with my own nose and that's vanity.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000018_000000.wav;Let us continue: Abraham Lincoln's associates and contemporaries are all known to history.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000033_000001.wav;His lovers, like his soldiers, rot in the grave defeated of their glory.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000030_000000.wav;He does not, mr Murry urges, believe, as has often been said, that men are purified by suffering.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000054_000008.wav;Besides, to tell everything as it really happened, it would have been necessary to make an effort of will to tell only what happened.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50963\5849_50963_000011_000000.wav;"""Then we had to go back to work at the logs,"" went on the captain, ""and then one of our crew took a fever.";
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000045_000005.wav;Jim Conway's house is just this side of it on the right-back from the road a smart piece and no other handy.;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000062_000009.wav;And how he has remembered everybody!;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000010_000000.wav;"""Yes, I do,"" said Adela, ""and I've got some sketches to take back, and Mademoiselle will be glad of that.""";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000122_000000.wav;Lelechka was being carried out.;
opus_datasets/extracted/LibriTTS_R/dev-other\6267\65525\6267_65525_000013_000001.wav;"One such request went from Sidney under the pen name of ""Ellen Douglas."" The girl was lonely in Plainfield; she had no companions or associates such as she cared for; the Maple Leaf Club represented all that her life held of outward interest, and she longed for something more.";
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141760\1701_141760_000046_000000.wav;He looked intently and inquiringly into his friend's eyes, evidently trying in vain to find the answer to some question.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000034_000002.wav;"Your hair must be cut off; there is no other way.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000008_000007.wav;He collected all his strength, to stir and utter a sound.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\6517\3660_6517_000046_000003.wav;The dogs sit with their tails to this invading water, their coats wet and dripping.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000007_000000.wav;'Never!' said she, and the firmness with which she closed her lips was audible in the word.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000046_000000.wav;In the poem which contains these verses the emotion of the poet gives words often undistinguished an almost Elizabethan rhythm.;
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000006_000000.wav;'Leave Helstone, papa!;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000034_000000.wav;'My mother.;
opus_datasets/extracted/LibriTTS_R/dev-other\6599\38591\6599_38591_000002_000005.wav;He was a man of capacity, who had the gift of resolutely continuing a moderate course of policy, well calculated to gain time, but insufficient for the settlement of great and difficult questions.;
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000101_000001.wav;She met her husband.;
opus_datasets/extracted/LibriTTS_R/dev-other\6599\38591\6599_38591_000000_000012.wav;The ungratefulnesses of kings are sometimes as capricious as their favors.;
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000017_000000.wav;"""Idiot!";
opus_datasets/extracted/LibriTTS_R/dev-other\1650\167613\1650_167613_000036_000002.wav;"""Who would spare himself now?";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000012_000000.wav;The cry of the hound was repeated, more distinct this time.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\115543\8254_115543_000007_000001.wav;The cook, too, went with them.;
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96252\7641_96252_000007_000004.wav;Quite in keeping with this, it is reported that many Hindus, even Rajas with great wealth, expend it merely on the maintenance of their position, their court and attendants, and themselves observe with the greatest scrupulousness the maxim that a man should eat nothing that he has not himself both sowed and reaped.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000017_000002.wav;"The multitude is ever joined to its idols; let them alone.";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\141772\1630_141772_000023_000001.wav;"""And who is that young man beside you?""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000007_000000.wav;"""They can't but despise me, you know,"" said the tailor.";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000046_000000.wav;DANIEL THWAITE.;
opus_datasets/extracted/LibriTTS_R/dev-other\7601\175351\7601_175351_000025_000003.wav;However, with the mobility that characterises the climate of these regions, the sun appeared from time to time, the temperature went up several degrees, obstacles melted as if by magic, and a fine sheet of water lay where icebergs bristled all the passes. The horizon glowed with those magnificent orange shades which rest the eye, tired with the eternal white of the snow.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000071_000001.wav;"I'm going to take care they don't hit me.""";
opus_datasets/extracted/LibriTTS_R/dev-other\6455\66379\6455_66379_000028_000002.wav;We were nearing the shore, for the purpose of looking for wood, the banks being invisible from the middle of the river.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000023_000002.wav;Then they sat down and another row filed past, leaving their flowers.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000006_000001.wav;But, as the rain gave not the least sign of cessation, he observed: 'I think we shall have to go back.';
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000008_000001.wav;"""He has just returned.""";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000059_000002.wav;But she recovered herself immediately.;
opus_datasets/extracted/LibriTTS_R/dev-other\6467\94831\6467_94831_000035_000000.wav;"""There you are,"" said Sam at last.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000032_000000.wav;"By this time we stood at the entrance of a large edifice which my guide said was ""the House of God."" As we walked in I saw innumerable little lights blinking and winking all over the spacious interior. There were, besides, pictures, altars and images all around me.";
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000026_000001.wav;Her legs trembled, and her heart beat like a trip hammer.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000013_000000.wav;"""Hurrah!"" cried Chris.";
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000046_000001.wav;Don't you see that we're playing a very ticklish game?;
opus_datasets/extracted/LibriTTS_R/dev-other\1701\141759\1701_141759_000059_000001.wav;"""From all he says one should be glad and not cry.""";
opus_datasets/extracted/LibriTTS_R/dev-other\4831\29134\4831_29134_000021_000006.wav;That man stands before you!;
opus_datasets/extracted/LibriTTS_R/dev-other\2506\11267\2506_11267_000010_000001.wav;But she will exact and receive considerable respect from the British Snobs located in the watering place which she selects for her summer residence, being the daughter of the Earl of Haggistoun.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000007_000000.wav;In ten minutes Charley pronounced the irons ready.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000024_000003.wav;More than this, he can look forward beyond war to the coming of a new patriotism of the world.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\25894\4831_25894_000035_000000.wav;'I wish she could sing at our tree, since Bella is ill,' cried one of the children peeping through the banisters.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000005_000000.wav;The doe was daintily cropping tender leaves and turning from time to time to regard her offspring.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000009_000011.wav;What would Jesus do?;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000040_000000.wav;"""Why?""";
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000010_000004.wav;He was lying on his side, those black eyes of his blazing at me, but now both of them saw the same distance.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000020_000002.wav;The occasion was caused by the killing of a woman during an election riot last Saturday night.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\74899\1255_74899_000009_000003.wav;We are made of different fabric,--though the stuff was originally the same.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000026_000005.wav;Observe to what confusion the mere attempt to follow such a report leads us.;
opus_datasets/extracted/LibriTTS_R/dev-other\3660\172183\3660_172183_000009_000005.wav;And he desired Enid to mount her horse, and to ride forward, and to keep a long way before him.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288045\116_288045_000008_000006.wav;He understood my bewilderment amid my novel surroundings, and offered to enlighten me.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000011_000001.wav;But there was the fawn.;
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67804\6455_67804_000050_000000.wav;"""I had not observed it,"" answered her ladyship.";
opus_datasets/extracted/LibriTTS_R/dev-other\7641\96670\7641_96670_000011_000000.wav;As they came to the city a mist fell, and Jason and his comrades with the sons of Phrixus went through the city without being seen.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59186\6123_59186_000014_000000.wav;What one does bless mr Hardy for, however, both in his verse and in his prose, is his bleak sincerity.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50963\5849_50963_000019_000000.wav;"""I can hardly believe it all,"" replied their little friend.";
opus_datasets/extracted/LibriTTS_R/dev-other\6267\53049\6267_53049_000050_000002.wav;She is such a darling sister.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000019_000002.wav;When the nooses fell, they turned and walked toward the fire as a matter of course.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000096_000000.wav;"""I would,"" said Tom, coolly, running his hands in his pockets.";
opus_datasets/extracted/LibriTTS_R/dev-other\5543\27761\5543_27761_000034_000000.wav;Then they began to talk of something else.;
opus_datasets/extracted/LibriTTS_R/dev-other\6123\59150\6123_59150_000004_000001.wav;"He may in the last analysis be a great mystic or a great psychologist; but he almost always reveals his genius on a stage crowded with people who behave like the men and women one reads about in the police news.";
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000002_000003.wav;This was natural.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000025_000014.wav;But I'm glad Miss Barry liked them.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000013_000001.wav;This is so important that we refer our readers to Origin's own words on the subject.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288047\116_288047_000002_000009.wav;A myth, then, is a guess, a story, a speculation, or a fanciful explanation of a phenomenon, in the absence of accurate information.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000005_000000.wav;The winter weeks slipped by.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000086_000000.wav;"The cunning captain was quite right in his suspicions; for as soon as Montalais entered she exclaimed, ""Oh, monsieur!";
opus_datasets/extracted/LibriTTS_R/dev-other\700\122867\700_122867_000035_000000.wav;Anne's lips quivered, but she realized the bitter truth of Marilla's remarks.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000008_000001.wav;In a moment Homer leaned forward and threw.;
opus_datasets/extracted/LibriTTS_R/dev-other\6455\67803\6455_67803_000016_000000.wav;She walked very fast, after she left the house.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000031_000000.wav;This matter satisfactorily adjusted, the men all ran for their ponies. They had been doing a wrestler's heavy work all the morning, but did not seem to be tired.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88291\6841_88291_000009_000000.wav;Near the fire the horse stopped.;
opus_datasets/extracted/LibriTTS_R/dev-other\8288\274162\8288_274162_000010_000000.wav;"""I am, indeed; and you know the reason very well, Monsieur d'Artagnan.""";
opus_datasets/extracted/LibriTTS_R/dev-other\7601\291468\7601_291468_000011_000000.wav;He had, moreover, skirmished smartly on the frontiers of several of the sciences, was fond of experimental philosophy, and prided himself upon inventions of all kinds.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000023_000000.wav;"""Very well; I can do that,"" said Ned haughtily.";
opus_datasets/extracted/LibriTTS_R/dev-other\1686\142278\1686_142278_000060_000000.wav;'Yes, papa, it had better be fixed soon and decidedly, as you say.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000065_000006.wav;This scheme did not appeal to him.;
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000081_000000.wav;"""They have enough to do in there,"" answered the boy, pointing toward the meeting house, in which pandemonium seemed to reign.";
opus_datasets/extracted/LibriTTS_R/dev-other\4570\102353\4570_102353_000014_000005.wav;I further gave them to understand that the same principle of selection would be followed in similar cases, so far as my authority extended.;
opus_datasets/extracted/LibriTTS_R/dev-other\3663\172005\3663_172005_000013_000002.wav;The fawn scrambled after her, slipping and tumbling along, and whining a good deal because his mother kept always moving away from him.;
opus_datasets/extracted/LibriTTS_R/dev-other\116\288048\116_288048_000003_000000.wav;Neither the place nor the time of Jesus' birth is known.;
opus_datasets/extracted/LibriTTS_R/dev-other\4831\18525\4831_18525_000025_000001.wav;"""Oh, do hurry,"" he begged, ""it's the prettiest sight!""";
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90413\1255_90413_000007_000002.wav;To be sure it was mrs Nichola Pine Avon, but frosted over indescribably.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122866\700_122866_000019_000017.wav;They were buried in the one grave and their funeral was most imposing, Diana.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000001_000001.wav;An Unfortunate Lily Maid;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000003_000000.wav;We had every sort of people with us off and on, and, as I was lookout at a popular game, I saw them all.;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000012_000000.wav;mr Maxwell did not ask, this morning, for volunteers to join those who had already pledged to do as Jesus would.;
opus_datasets/extracted/LibriTTS_R/dev-other\8254\84205\8254_84205_000017_000000.wav;"""Oh!";
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000033_000001.wav;Why did you not follow him?;
opus_datasets/extracted/LibriTTS_R/dev-other\4323\13259\4323_13259_000016_000002.wav;But this seems different.;
opus_datasets/extracted/LibriTTS_R/dev-other\700\122868\700_122868_000036_000002.wav;She almost wished she had answered Gilbert differently.;
opus_datasets/extracted/LibriTTS_R/dev-other\6841\88294\6841_88294_000009_000004.wav;Or else he'd just talk.;
opus_datasets/extracted/LibriTTS_R/dev-other\1255\90407\1255_90407_000012_000001.wav;How should I? You are a kimberlin.';
opus_datasets/extracted/LibriTTS_R/dev-other\1630\96099\1630_96099_000037_000000.wav;"""Book?";
opus_datasets/extracted/LibriTTS_R/dev-other\5849\50873\5849_50873_000034_000001.wav;"Won't you let me go with you?""";
